"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jan 11 02:04:46 GMT 2021","Mon Jan 11 02:04:46 GMT 2021","2","Suite1","Regression1","runner.CucumberRunnerClass","runner.CucumberRunnerClass","setUpClass","setUpClass",""
"passed","Sat Jan 09 20:16:42 GMT 2021","Sat Jan 09 20:18:39 GMT 2021","116810","Suite1","Regression1","runner.CucumberRunnerClass","runner.CucumberRunnerClass","runScenario","Runs Cucumber Scenarios",""
